,domain,Unnamed: 1,linkedin_id
0,6sense.com,,3677944
1,adobe.com,,1480
2,amplemarket.com,,17940980
3,apollo.io,,18511550
4,asana.com,,807257
5,atlassian.com,,22688
6,aviso.com,,3713385
7,bamboohr.com,,2049060
8,bluebeam.com,,111265
9,botify.com,,2793570
10,certinia.com,,91322696
11,clari.com,,2706103
12,coupa.com,,99595
13,databricks.com,,3477522
14,datadoghq.com,,1066442
15,drata.com,,69007278
16,emberlifesciences.com,,97196957
17,figma.com,,3650502
18,glean.com,,74882602
19,gong.io,,10454372
20,gooten.com,,10423812
21,gusto.com,,2499210
22,houzz.com,,1355951
23,intuit.com,,1666
24,kerridgecs.com,,907307
25,lattice.com,,10653469
26,lvt.com,,3176725
27,maxio.com,,84002358
28,mongodb.com,,783611
29,gomotive.com,,3496568
30,muckrack.com,,11018784
31,muvi.com,,2509839
32,navan.com,,79902774
33,notion.com,,30898036
34,okta.com,,926041
35,omilia.com,,1057955
36,orum.com,,18832843
37,outreach.io,,3559595
38,pendo.io,,5071271
39,rippling.com,,17988315
40,salesforce.com,,3185
41,salesloft.com,,2296178
42,shopify.com,,784652
43,showpad.com,,2446860
44,skedulo.com,,3252148
45,snowflake.com,,3653845
46,spectrumvoip.com,,2106153
47,stackct.com,,3335216
48,sugarcrm.com,,17345
49,uniphore.com,,1331150
50,usertesting.com,,564709
51,zendesk.com,,418095
52,zoominfo.com,,16272
