domain,input_domain,source,predicted_b2b,predicted_saas,last_b2b2_saas_refresh_timestamp,b2b_saas_version,predicted_hardware_component,predicted_annual,predicted_annual_reason,last_monthly_payments_refresh_timestamp,monthly_payments_version,last_prediction_list_name,linkedin_about_us,city,company_type,linkedin_employee_count_dynamic,linkedin_employee_count_static,scraped_linkedin_financing_last_round_date,scraped_linkedin_financing_last_round_raised,scraped_linkedin_financing_last_round_type,scraped_linkedin_financing_main_investor,scraped_linkedin_financing_rounds,scraped_linkedin_founded_year,scraped_linkedin_headline,scraped_linkedin_industry,scraped_linkedin_followers,scraped_linkedin_company_name,last_linkedin_refresh_timestamp,scraped_country,scraped_state,scraped_linkedin_id,scraped_linkedin_locations,scraped_linkedin_main_location,ocean_company_name,ocean_legal_name,ocean_country,ocean_employee_count,ocean_founded_year,ocean_description,ocean_web_traffic_bounced_rate,ocean_web_traffic_pages_per_visit,ocean_web_traffic_views,ocean_web_traffic_visits_count,ocean_linkedin_url,ocean_website,ocean_industries,last_ocean_refresh_timestamp,_synced,company_name,employee_count,linkedin_stub,linkedin_order,founded_year,industry,sub_industry,linkedin,last_funding_date,name_order,country
pactrcm.com,pactrcm.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information is not provided on the page, and it suggests contacting for more details.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Welcome to PACT RCM's LinkedIn Business Page! 🌟\n\nHere at PACT, we're revolutionizing RCM outsourcing, aligning your trust with our dedication to your reputation and mission. Our deep understanding of your business and patients' challenges ensures an overall positive and elevated satisfaction.\n\nStep into a world where Revenue Cycle Management (RCM) services are redefined with a patient-centric approach. We're not just service providers; we're advocates for empowerment, equipping individuals with the knowledge to make informed decisions and fostering a positive, inclusive ecosystem that breeds loyalty.\n\nYour focus is on improving patients' health – we've got the financial aspect covered. No surprise bills, just seamless alignment. Join us in reshaping the RCM landscape and forging a future of trust and transparency.\n",Sunnyvale,Privately Held,5,11-50,,,,,,2023,Patient Aligned/Advocacy Care Team (PACT) RCM Services | Institution as Servant,Hospitals and Health Care,156,PACT RCM LLC,2025-01-10 17:15:26.420545 UTC,US,CA,96883494,"[""Sunnyvale, CA 94089, US"",""Chennai, TN 600091, IN""]","Sunnyvale, CA 94089, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,PACT RCM LLC,5,,,2023,Hospitals and Health Care,,https://linkedin.com/company/96883494,,1,United States
audiohook.com,audiohook.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Audiohook is a media and technology company built specifically to solve the challenges of the digital audio and podcasting ecosystem. Reaching over 90% of consumers each month, brands and marketers can scale campaigns across streaming, digital radio and podcasts with Audiohook. Moreover, media buyers can leverage innovative audience and contextual targeting, and enable key integrations to facilitate industry leading brand suitability, attribution and measurement solutions.\n\nExperience the power of audio at audiohook.com\n",Ogden,Privately Held,11,11-50,,,,,,,Performance-driven audio advertising platform,Advertising Services,673,Audiohook,2025-01-10 17:15:26.420545 UTC,US,Utah,54317193,"[""2036 Lincoln Ave, Ogden, Utah 84401, US""]","2036 Lincoln Ave, Ogden, Utah 84401, US",Audiohook,,United States,8,,"Audiohook is a media and technology company built specifically to solve the challenges of the digital audio and podcasting ecosystem.

Reaching over 90% of consumers each month, brands and marketers can scale campaigns across streaming, digital radio and podcasts with Audiohook. Moreover, media buyers can leverage innovative audience and contextual targeting, and enable key integrations to facilitate industry leading brand suitability, attribution and measurement solutions.

Experience the power of audio at audiohook.com",,,,,https://www.linkedin.com/company/getaudiohook,https://www.audiohook.com/,"[{""name"":""Audio"",""score"":1.0},{""name"":""Podcast"",""score"":1.0},{""name"":""Advertising"",""score"":0.99999976},{""name"":""Marketing"",""score"":0.99999833},{""name"":""Digital Media"",""score"":0.99938583},{""name"":""Internet Radio"",""score"":0.92705095},{""name"":""Advertising Platforms"",""score"":0.6159516},{""name"":""Audiobooks"",""score"":0.6032057}]",2025-01-11 21:54:22.000896 UTC,2025-01-13 05:07:17.747740 UTC,Audiohook,11,getaudiohook,1,,Advertising Services,Podcast,https://www.linkedin.com/company/getaudiohook,,1,United States
fusemate.io,fusemate.io,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers monthly plans starting from $599, indicating that they provide options other than annual pricing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Fusemate provides agencies with a certified white label marketing team that increases capacity, skillsets and profit without the headache of finding expensive full-time staff or micro-managing VA’s.\n\nFlat-rate. Unlimited tasks.\n\nFeatured on: DigitalMarketer | HighLevel | Cloudways\n\nWe're on a mission to help digital agency owners get out of the weeds, free up their time, and focus on strategy and sales. \n\nGet your client tasks done! Free up your time, off-load your tasks to us and focus ON your business.\n\nNo need to create SOPs from scratch for every single task you do. No hiring and training headaches. No micro-managing freelancers hoping they “get it”.\n\nSpecilist support that includes:\n> Graphic Design\n> WordPress Development\n> GoHighLevel Funnel Building & Tech Support\n> Content & Copywriting\n> Proactive Project Management\n\nGet a demo today to see how it works.\n",Louisiana,Privately Held,,11-50,,,,,,,"Fusemate helps agencies get more done with a reliable and scalable turnkey certified white label, marketing team.",Marketing Services,,Fusemate: Marketing Support,2025-01-10 17:15:26.420545 UTC,US,,89516845,"[""Louisiana, US""]","Louisiana, US",Fusemate,,United States,1,,"Fusemate provides agencies with a certified white label marketing team that increases capacity, skillsets and profit without the headache of finding expensive full-time staff or micro-managing VA’s.

Flat-rate. Unlimited tasks.

Featured on: DigitalMarketer | HighLevel | Cloudways

We're on a mission to help digital agency owners get out of the weeds, free up their time, and focus on strategy and sales. 

Get your client tasks done! Free up your time, off-load your tasks to us and focus ON your business.

No need to create SOPs from scratch for every single task you do. No hiring and training headaches. No micro-managing freelancers hoping they “get it”.

Specilist support that includes:
> Graphic Design
> WordPress Development
> GoHighLevel Funnel Building & Tech Support
> Content & Copywriting
> Proactive Project Management

Get a demo today to see how it works.",28.35,4.35,29144,6700,https://www.linkedin.com/company/fusemate,https://fusemate.io/,"[{""name"":""Advertising"",""score"":0.9999996},{""name"":""Marketing"",""score"":0.99981177},{""name"":""Web Design"",""score"":0.9923487},{""name"":""Web Development"",""score"":0.8181499},{""name"":""Graphic Design"",""score"":0.7476331}]",2024-11-29 20:19:54.865303 UTC,2025-01-13 05:07:17.747740 UTC,Fusemate: Marketing Support,1,fusemate,1,,Marketing Services,Marketing,https://www.linkedin.com/company/fusemate,,1,United States
onepulse.com,onepulse.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers a pay-as-you-go (PAYG) option with no commitment, indicating monthly or usage-based pricing alongside annual plans.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              OnePulse is the consumer insight tool that gives you answers in minutes, not weeks. \n\nFrom creative testing and concept testing to brand tracking and on-demand insights, our intuitive, self-service platform empowers every team member—not just the research department—to effortlessly gather data and confidently make decisions backed by their target audience. \n\nJoin the many brands who trust OnePulse to shape their strategies with real-time insights.\n",Austin,Privately Held,40,11-50,,,,,,2013,Supercharge your consumer insights,Market Research,4127,OnePulse,2025-01-10 17:15:26.420545 UTC,US,Texas,3627391,"[""801 Barton Springs Rd, Austin, Texas 78704, US"",""London, England, GB"",""Dallas, Texas, US""]","801 Barton Springs Rd, Austin, Texas 78704, US",OnePulse,,United States,24,2013,"OnePulse is the consumer insight tool that gives you answers in minutes, not weeks. 

From creative testing and concept testing to brand tracking and on-demand insights, our intuitive, self-service platform empowers every team member—not just the research department—to effortlessly gather data and confidently make decisions backed by their target audience. 

Join the many brands who trust OnePulse to shape their strategies with real-time insights.",63.2,1.83,319335,174500,https://www.linkedin.com/company/onepulse,https://www.onepulse.com/,"[{""name"":""Consumer Research"",""score"":1.0},{""name"":""Market Research"",""score"":1.0},{""name"":""Analytics"",""score"":0.9998644},{""name"":""Marketing"",""score"":0.9995102},{""name"":""SaaS"",""score"":0.98260677},{""name"":""Internet"",""score"":0.6295544}]",2025-01-08 21:59:08.570929 UTC,2025-01-13 05:07:17.747740 UTC,OnePulse,40,onepulse,1,2013,Market Research,Market Research,https://www.linkedin.com/company/onepulse,,1,United States
xenomics.com,xenomics.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,true,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Exponential Genomics (Xenomics) is building next-generation life science companies focused on combating the world’s greatest challenges—feeding, fueling, and healing humanity. Built by a team of scientists trained at Harvard and MIT, our core technology is a novel gene-editing technique capable of performing over 400 years of CRISPR in 8 weeks.\n\nOur Xenoarray technology is well-positioned to revolutionize gene editing techniques by enabling gene knock-ins of up to 8,000 base pairs or 8 unique genes. We anticipate obtaining at least 3,000 unique cell lines from each experiment, which could radically streamline the process of integrating parallel workflows in bioengineering.\n\nExponential’s current commercialization projects include streamlining the manufacturing of biopharmaceuticals, vaccines, human breastmilk, cell therapies, cultured meats & dairy, water desalination, carbon recycling, cannabinoids, psychedelics, food flavors, and perfume scents. \n",Cambridge,Privately Held,4,2-10,,,,,,,"Engineering breakthrough gene-editing technologies to help feed, fuel, and heal humanity.",Biotechnology,176,"Exponential Genomics, Inc. (Xenomics)",2025-01-10 17:15:26.420545 UTC,US,Massachusetts,52199428,"[""1 Broadway, Cambridge, Massachusetts 02142, US""]","1 Broadway, Cambridge, Massachusetts 02142, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,"Exponential Genomics, Inc. (Xenomics)",4,,,,Biotechnology,,https://linkedin.com/company/52199428,,1,United States
blakbear.com,blakbear.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,true,False,"The company offers monthly pricing options for various plans, indicating that they do not exclusively offer annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              BlakBear tells you how fresh your food is. \n\nWe replace shelf-life on fresh food with a sensor that actually knows. Founded by scientists from Imperial College, we sell new sensors and a freshness API, to improve quality control, add shelf-life and cut food waste from producer to consumer.\n",London,Privately Held,,2-10,,,,,,,Food should tell you how fresh it is,Biotechnology,3057,BlakBear,2025-01-10 17:15:26.420545 UTC,GB,London,11276948,"[""Imperial College, London, London SW7 2AZ, GB""]","Imperial College, London, London SW7 2AZ, GB",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,BlakBear,,,,,Biotechnology,,https://linkedin.com/company/11276948,,1,United Kingdom
ask-health.net,ask-health.org,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Ask Health is a data-centric healthcare company committed to enhancing patient quality of life throughout the entire care continuum, including hospital systems, sub-acute settings, and outpatient services. We also support other medical practices in broadening their service offerings and achieving operational excellence. \n",Tampa,Privately Held,12,11-50,,,,,,2022,Improving quality of life and preventing rehospitalizations.,Hospitals and Health Care,,Ask Health,2025-01-10 17:15:26.420545 UTC,US,,89950969,"[""Tampa, US""]","Tampa, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Ask Health,12,,,2022,Hospitals and Health Care,,https://linkedin.com/company/89950969,,1,United States
integratedcaretech.com,integratedcaretech.com,clientdb,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,External link for Integrated Care Technologies,,Privately Held,3,11-50,,,,,,,Enabling Value-Based Healthcare,Hospitals and Health Care,,Integrated Care Technologies,2025-01-10 17:15:26.420545 UTC,,,82825508,[],,,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Integrated Care Technologies,3,,,,Hospitals and Health Care,,https://linkedin.com/company/82825508,,1,
novasignings.com,novasignings.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Introducing your Nationwide E-Closing Solution, accessible to Hybrid signing, E-sign, and over 70,000 mobile notaries in all 50 states.\n\nSigning made simple.\n\n",Honolulu,Partnership,4,11-50,,,,,,2020,Innovative Nationwide E-closing - Signing made simple.,Real Estate,200,Nova Signings,2025-01-10 17:15:26.420545 UTC,US,Hawaii,78633578,"[""1188 Bishop St, Suite 901, Honolulu, Hawaii 96813, US""]","1188 Bishop St, Suite 901, Honolulu, Hawaii 96813, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Nova Signings,4,,,2020,Real Estate,,https://linkedin.com/company/78633578,,1,United States
rxlive.com,rxlive.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information is not clearly stated, and it mentions potential co-pays depending on insurance, indicating that specific pricing details may require further inquiry.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"RxLive integrates clinical pharmacists into the healthcare team to create significant financial and clinical value. Implementing and maximizing this value is a discipline we call Value‑Based Pharmacy™. We are a concierge telehealth pharmacy service that connects patients with expert pharmacists in a secure, private and personal way.\n\nRxLive is elevating clinical pharmacy in value-based care. With, My.RxLive, Value-based Pharmacy System (VPS), vertically integrated workflows proactively identify, engage and intervene to optimize impact throughout a population.\n\nRxLive.AI technology and service solutions streamline processes to improve pharmacist efficiency, quality measures and health outcomes. Dynamic analytics visualize the impact of clinical programs throughout the continuum of care and prove the value created by pharmacy.\n\nhttps://youtu.be/OdTjt7CHzCM",St Petersburg,Privately Held,29,11-50,,,,,,2017,Value-based Pharmacy,Hospitals and Health Care,1657,RxLive,2024-10-30 10:02:37.331890 UTC,US,Florida,,,,,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,RxLive,29,,,2017,Hospitals and Health Care,,,,1,United States
