,index,Unnamed: 0,Unnamed: 0.1,parent_category,parent_slug,child_category,child_slug,company_id,company_slug,company_name,company_legal_name,company_icon,company_description,is_vendr_verified,company_stats,negotiationsHandled,domain,description,competitors,communityInsights,endOfQuarterSignatureNewPurchase,endOfQuarterSignatureRenewal,expectedGrowthEconomiesOfScaleNewPurchase,expectedGrowthEconomiesOfScaleRenewal,multiYearNewPurchase,multiYearRenewal,hasBigSavings,quickSalesProcessSignatureNewPurchase,quickSalesProcessSignatureRenewal,averageContractValue,averageSavingsPercent,mentionsDiscounts,Mentions_Discounts_Annual_Payments,quota_attainment,industry_average_quota_attainment,repvue_slug
0,0,0,0,Collaboration and Communication,collaboration-and-communication,Appointment Scheduling,appointment-scheduling,8c6001a5-49de-4938-89aa-db04007da4e1,calendly,Calendly,Calendly LLC,//backoffice.vendr.com/public-assets/logos/1721162730213/calendly.png,Say goodbye to phone and email tag for finding the perfect meeting time with Calendly.,False,"{'negotiationsHandled': 277, 'averageSavingsPercent': '14.93'}",277,calendly.com,Say goodbye to phone and email tag for finding the perfect meeting time with Calendly.,"Chili Piper Team, Clockwise, GoodTime, Squarespace, YoucanBookMe, Doodle","[{'companySize': 247, 'publishedAt': '2024-02-05T20:47:32.100Z', 'type': 'Buying', 'value': 'We were able to leverage our upgrade to their enterprise tier to secure a 10% discount upon renewal. '}, {'companySize': 247, 'publishedAt': '2023-07-18T16:23:30.486Z', 'type': 'Buying', 'value': 'Since they were upgrading plans, we leverages growth and budget talk tracks to save an additional 10%. '}, {'companySize': 247, 'publishedAt': '2023-08-07T14:24:48.970Z', 'type': 'Buying', 'value': 'Calendly offers standard 5% multi year discounts, and 5% marketing partnership discounts'}, {'companySize': 247, 'publishedAt': '2023-08-22T21:11:32.741Z', 'type': 'Buying', 'value': 'We were able to avoid a CPI + 3% price increase that was proposed by citing budget constraints by Finance. We were also able to remove the CPI portion of the price increase language for a standard 3% uplift upon renewal.'}, {'companySize': 247, 'publishedAt': '2023-09-14T20:35:34.093Z', 'type': 'Buying', 'value': 'We put in a budget anchor in combination with promising an end of month sign date in order to get a 10% discount on a new purchase.'}, {'companySize': 247, 'publishedAt': '2023-10-16T14:32:25.171Z', 'type': 'Buying', 'value': 'We were able to obtain a flat renewal for the same scope as last year. '}, {'companySize': 247, 'publishedAt': '2023-09-25T17:38:12.857Z', 'type': 'Buying', 'value': 'They offered a 10% discount on a 24 month term. '}, {'companySize': 247, 'publishedAt': '2023-11-06T22:20:27.384Z', 'type': 'Buying', 'value': 'Because we were going to be descoping their contract, supplier was adamant about raising their grandfathered / user cost of $103.20 / user to $192 / user. We were able to negotiate them keeping the $103.20 / user cost, citing the RIFF impacting descope and various budget anchors. Additionally, we were able to get payment terms increased from Net 30 to Net 45, the automatic 3%+ CPI increase annually removed, and auto renew language removed. '}, {'companySize': 247, 'publishedAt': '2023-12-29T13:18:14.139Z', 'type': 'Buying', 'value': 'It is Calendlys policy to remove all discounting on substantial decreases in user count. We were able to work with their team to maintain a 10% discount while reducing licenses by 50% '}, {'companySize': 247, 'publishedAt': '2023-11-30T10:51:59.948Z', 'type': 'Buying', 'value': 'We were able to secure a 15% discount on Enterprise with 50 users by leveraging this being a new purchase and only having the ability to commit to 12 months.'}, {'companySize': 247, 'publishedAt': '2023-12-11T19:16:12.054Z', 'type': 'Buying', 'value': 'We had a 35% legacy discount with Calendly for their Enterprise Plan. With a descope of 80 seats they said that the legacy discount would be removed. We leveraged the length of the partnership and budget to secure an offer for a 20% discount on a 12 month agreement with the option of an additional 5% for a 24 month renewal and another 5% for a case study. '}, {'companySize': 247, 'publishedAt': '2024-01-04T12:50:33.545Z', 'type': 'Buying', 'value': 'We were able to renew our Prelude subscription on 12 months with no annual increases or changes to scope.'}, {'companySize': 247, 'publishedAt': '2023-12-26T22:28:56.751Z', 'type': 'Buying', 'value': 'We received a 15% discount at renewal through voicing budget constraints. '}, {'companySize': 247, 'publishedAt': '2024-02-21T17:43:35.489Z', 'type': 'Buying', 'value': 'We were able to maintain our legacy discount and achieve and further 5% reduction by adding the SSO feature and agreeing to a 24-month term. A price lock was instituted for Y2.'}, {'companySize': 247, 'publishedAt': '2024-06-26T19:29:57.954Z', 'type': 'SavingsAndNegotiation', 'value': 'Calendly has the ability to extend flat renewals, honoring historical discounts, if headcount remains stable year-over-year.'}, {'companySize': 247, 'publishedAt': '2024-09-14T02:16:41.581Z', 'type': 'SavingsAndNegotiation', 'value': 'We were able to find savings by calling out that a previous contact at the supplier provided SSO without charging them so we worked to have that included in the contract at no cost.'}, {'companySize': 247, 'publishedAt': '2024-07-23T13:21:35.407Z', 'type': 'SavingsAndNegotiation', 'value': 'The vast majority of Calendly contracts have a CPI+3% increase at renewal, this can be pushed back on if you can commit to a 2 year deal and/or growth. '}, {'companySize': 247, 'publishedAt': '2024-08-30T16:26:58.999Z', 'type': 'SavingsAndNegotiation', 'value': 'The list pricing has increased recently and the most advantageous lever seems to be leveraging a 2 year agreement.'}, {'companySize': 247, 'publishedAt': '2024-08-30T16:26:49.680Z', 'type': 'SavingsAndNegotiation', 'value': 'During a 1 year renewal with no scope changes our previous discount was quite high at 25% and supplier agreed to keep pricing flat year over year'}, {'companySize': 247, 'publishedAt': '2024-09-24T19:14:16.690Z', 'type': 'SavingsAndNegotiation', 'value': 'We were able to keep the rate stable as well as mitigating a 6% increase with slight growth upon renewal.'}, {'companySize': 247, 'publishedAt': '2024-10-09T19:37:10.521Z', 'type': 'SavingsAndNegotiation', 'value': 'Vendr requested usage reports and through that we were able to identify we had about 60 users that had not been using the tool in the past 120 days so we removed them. Given the descope, there was an increase in the user rate from, but overall we reduced the total contract cost by 24%. '}]",HIGH,POSSIBLE,HIGH,HIGH,HIGH,HIGH,False,HIGH,UNLIKELY,11083.42,14.93,,False,69,40.4,Calendly
34,34,36,142,Collaboration and Communication,collaboration-and-communication,Calling and VoIP,calling-and-voip,9b6071ac-4154-4a07-9792-65a048b8f854,ringcentral,RingCentral,"RingCentral, Inc.",//d1mzm9ptampqbl.cloudfront.net/product-logos/ringcentral.png,A leader in Gartner's 2016 Magic Quadrant for Unified Communications as a Service (UCaaS) Worldwide for a second consecutive year.,False,"{'negotiationsHandled': 94, 'averageSavingsPercent': '26.49'}",94,ringcentral.com,A leader in Gartner's 2016 Magic Quadrant for Unified Communications as a Service (UCaaS) Worldwide for a second consecutive year.,GoTo,"[{'companySize': 247, 'publishedAt': '2023-06-07T17:20:02.334Z', 'type': 'Buying', 'value': 'We had significant product issues with RingCentral throughout our term and the CSM said they would make it right with a discount. We get to 30 days before renewal and asked about discounts and the sales rep told us that the contract cannot be adjusted within 30 days of the renewal and we would not get any discounts despite conversations and product issues. \n\nWe escalated this to senior management and said this would be our last year with Ring Central given the extremely poor sentiment and CS. We were able to get our rate reduced by 26% once we escalated to senior leadership.'}, {'companySize': 247, 'publishedAt': '2023-09-29T15:16:33.748Z', 'type': 'Buying', 'value': 'After going back & forth with the representative, due to the inability to negotiate on legal terms, we made the decision to pause growth based conversations and auto renew at the trued up cost. '}]",,,,,,,False,,,158239.85,26.49,,False,47.13953488372093,40.4,RingCentral
35,35,37,144,Collaboration and Communication,collaboration-and-communication,Calling and VoIP,calling-and-voip,c5a3fd7a-74c1-409b-bb20-81c57d8e4949,vonage,Vonage,Vonage Holdings Corp.,//d1mzm9ptampqbl.cloudfront.net/product-logos/vonage.png,Vonage is a publicly held business cloud communications provider.,False,"{'negotiationsHandled': 24, 'averageSavingsPercent': '14.22'}",24,vonage.com,Vonage is a publicly held business cloud communications provider.,Twilio,,,,,,,,False,,,174126.35,14.22,,False,25.5,43.2,Vonage
72,72,2327,250,Collaboration and Communication,collaboration-and-communication,Communication,communication,a4a4f496-f6ea-48ea-a245-06058ba6ddae,goto,GoTo,GoTo Audio LLC,//d1mzm9ptampqbl.cloudfront.net/product-logos/goto-com.png,"GoTo is a comprehensive IT support and business communication software that offers a range of services including phone systems, customer engagement, video conferencing, and remote IT management. It also provides specialized solutions for various sectors such as healthcare, legal, education, and automotive, enabling professionals to work efficiently from anywhere.",False,"{'negotiationsHandled': 277, 'averageSavingsPercent': '20.49'}",277,goto.com,"GoTo is a comprehensive IT support and business communication software that offers a range of services including phone systems, customer engagement, video conferencing, and remote IT management. It also provides specialized solutions for various sectors such as healthcare, legal, education, and automotive, enabling professionals to work efficiently from anywhere.","Zoom, 1Password, RingCentral","[{'companySize': 247, 'publishedAt': '2023-05-24T01:15:44.325Z', 'type': 'Buying', 'value': 'We leveraged the security breaches over the past year to secure a discount on the upcoming renewal. '}, {'companySize': 247, 'publishedAt': '2023-06-14T18:15:49.769Z', 'type': 'Buying', 'value': 'Was able to secure a 10% discount on a one year contract for LastPass after emphasizing budget constraints and bringing in competition.'}, {'companySize': 247, 'publishedAt': '2023-11-07T16:40:04.853Z', 'type': 'Buying', 'value': 'GoTo provided us with a 6-month contract on renewal because we planned on moving away from them.  '}, {'companySize': 247, 'publishedAt': '2023-11-10T20:24:01.920Z', 'type': 'Buying', 'value': 'Gave 3 months free in the form of a 15 month contract for the price of a 12 month contract contingent upon an EOM signature in October.'}, {'companySize': 247, 'publishedAt': '2023-11-30T17:56:02.608Z', 'type': 'Buying', 'value': 'Would not co term two separate agreements when descoping licenses.  Uncooperative and not considerate of common sense requests when looking to right size and align contracts.'}, {'companySize': 247, 'publishedAt': '2023-11-08T17:00:17.038Z', 'type': 'Buying', 'value': 'Supplier was unnecessarily difficult in facilitating a license reduction.  Two contracts existed- one main contract and another to purchase additional licenses.  Proposed a coterm but then backtracked and said that they could not cancel or modify the dates of the additional license agreement or do anything for less than a 12 month period.  Ultimately, moved forward with two agreements to achieve the desired # of seats needed.  3% lift on per license price.'}, {'companySize': 247, 'publishedAt': '2024-02-15T18:50:48.201Z', 'type': 'Buying', 'value': ""Goto's system does not allow them to create contract proposals before the month the renewal is in. Was hard to get a proposal from rep. ""}, {'companySize': 247, 'publishedAt': '2024-02-22T13:59:22.680Z', 'type': 'Buying', 'value': 'We were able to maintain our previous pricing when descoping our users by 14% on our 12 month renewal with an annual commitment '}, {'companySize': 247, 'publishedAt': '2024-07-10T14:03:21.482Z', 'type': 'SavingsAndNegotiation', 'value': 'GoTo was coming in with a 9% increase, no change to our contract. After pushing back and leaning on a firm budget, we were able to maintain flat pricing. '}]",POSSIBLE,POSSIBLE,HIGH,HIGH,HIGH,HIGH,False,POSSIBLE,POSSIBLE,17287.76,20.49,,False,24.23728813559322,40.4,LogMeIn
75,75,2330,253,Collaboration and Communication,collaboration-and-communication,Communication,communication,2c327549-ad2f-4af1-9004-452f253de211,influitive,Influitive,Influitive Corporateion,//d1mzm9ptampqbl.cloudfront.net/product-logos/influitive.png,"Influitive is driving the creation of Customer-Powered Enterprises. Our software and services help companies discover, nurture, and mobilize their advocates to accelerate sales and increase customer lifetime value. This practice, called Advocate Marketing, creates an engaged customer community where advocates convert prospects into customers and new customers into successful customers. The community supports departmental objectives from marketing to sales, customer success, product, and beyond. We believe the companies that put their customer advocates at the heart of their business are the ones that will win.

",False,"{'negotiationsHandled': 25, 'averageSavingsPercent': '20.96'}",25,influitive.com,"Influitive is driving the creation of Customer-Powered Enterprises. Our software and services help companies discover, nurture, and mobilize their advocates to accelerate sales and increase customer lifetime value. This practice, called Advocate Marketing, creates an engaged customer community where advocates convert prospects into customers and new customers into successful customers. The community supports departmental objectives from marketing to sales, customer success, product, and beyond. We believe the companies that put their customer advocates at the heart of their business are the ones that will win.

",,,,,,,,,False,,,34567.84,20.96,,False,38.888888888888886,40.4,Influitive
78,78,2335,256,Collaboration and Communication,collaboration-and-communication,Communication,communication,110d5356-73e6-4ea4-83aa-9802c0c87eda,common-room,Common Room,Common Room Inc,//d1mzm9ptampqbl.cloudfront.net/product-logos/common-room.png,"Common Room helps you deepen relationships, build better products, and drive business impact. Get started today for free!",False,"{'negotiationsHandled': 20, 'averageSavingsPercent': '26.73'}",20,commonroom.io,"Common Room helps you deepen relationships, build better products, and drive business impact. Get started today for free!",,"[{'companySize': 247, 'publishedAt': '2023-05-16T13:16:16.542Z', 'type': 'Buying', 'value': 'CommonRoom had removed their one time discount on this renewal. In return, we removed the branding elements that were originally in place. This was a like for like renewal, but we managed to add 5 additional users valued at $10,500, and an additional listening room for no additional charge. CommonRoom also allowed bi-annual payments. These services were conditional on signature in May (month before renewal date.) '}]",,,,,,,False,,,28439.7,26.73,,False,55.625,40.4,common-room
85,85,2343,264,Collaboration and Communication,collaboration-and-communication,Communication,communication,abdb3c8f-8ac2-444d-8fea-aeb32921cb5c,igloo-software,Igloo Software,Igloo Inc,//d1mzm9ptampqbl.cloudfront.net/product-logos/igloo-software.png,Igloo Software is a Canadian-based company that develops online communities and social software for business.,False,"{'negotiationsHandled': 9, 'averageSavingsPercent': '10.81'}",9,igloosoftware.com,Igloo Software is a Canadian-based company that develops online communities and social software for business.,,,,,,,,,False,,,92497.44,10.81,,False,16.428571428571427,40.4,IglooSoftware
186,186,2456,530,Collaboration and Communication,collaboration-and-communication,Email,email,adca5027-ac03-4f39-bf82-5ce841358969,sparkpost,SparkPost,SparkPost inc,//d1mzm9ptampqbl.cloudfront.net/product-logos/sparkpost.png,Deliver your app and website emails on time and to the inbox. Trusted to send 25% of the world's non-spam email. Email delivery for companies big and small.,False,"{'negotiationsHandled': 35, 'averageSavingsPercent': '17.91'}",35,sparkpost.com,Deliver your app and website emails on time and to the inbox. Trusted to send 25% of the world's non-spam email. Email delivery for companies big and small.,,,,,,,,,False,,,487127.68,17.91,,False,30,40.4,SparkPost
187,187,2457,531,Collaboration and Communication,collaboration-and-communication,Email,email,a36874dc-48c8-4419-ba52-ec3f211369cd,superhuman,Superhuman,Superhuman Labs Inc,//d1mzm9ptampqbl.cloudfront.net/product-logos/superhuman.png,Superhuman is a AI-powered email platform built for high-performing teams.,False,"{'negotiationsHandled': 27, 'averageSavingsPercent': '17.47'}",27,superhuman.com,Superhuman is a AI-powered email platform built for high-performing teams.,,"[{'companySize': 247, 'publishedAt': '2023-12-04T12:31:25.871Z', 'type': 'Buying', 'value': 'We were able to obtain an additional 5% discount by committing to a multi-year agreement.'}, {'companySize': 247, 'publishedAt': '2024-03-28T19:40:26.364Z', 'type': 'Buying', 'value': 'Was able to negotiate maintaining pricing and discounting even with significant descope of users'}]",,,,,,,False,,,7180.1,17.47,,False,18.75,40.4,superhuman
188,188,2458,532,Collaboration and Communication,collaboration-and-communication,Email,email,5216b3cc-8418-4e9d-81ab-02f4aa846d1d,help-scout,Help Scout,Help Scout,//d1mzm9ptampqbl.cloudfront.net/product-logos/help-scout-company.png,"Make every customer service interaction a more human one. Use Help Scout. Trusted by over 7,000 businesses in 140 countries. Get started for free.",False,"{'negotiationsHandled': 26, 'averageSavingsPercent': '14.64'}",26,helpscout.com,"Make every customer service interaction a more human one. Use Help Scout. Trusted by over 7,000 businesses in 140 countries. Get started for free.","Front, Hiver, MailClark","[{'companySize': 247, 'publishedAt': '2024-05-21T19:37:25.933Z', 'type': 'Buying', 'value': ""We went with a 1 year offer for 200 seats since Help Scout was not offering high enough discounts on a multi-year contract. We were not pleased with the offer for a multi-year upfront payment and it was not strong enough to move away from a single year contract.  Discounts were attached last year with monthly billing. Help Scout marked the account as Plus plan in order to achieve the $40/user rate, even though we are on a Pro plan. List price of $65, offered as best and final at $46 for this year's agreement.""}]",,,,,,,False,,,44388.81,14.64,,False,42.5,40.4,HelpScout
